Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,17788.7865816658
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,..
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,2739594359.5908
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,17795.5826616182
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,30372642502.4897
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,32937.83984375
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,290972714482.313
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,27696.4619527544
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,406110162088.054
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,69340.7334922138
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3392796953.08939
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3025.91126413549
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,562911111.111111
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8376.40414141113
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,94850719516.7127
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8527.0754858205
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,107179074000
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6061.32350181711
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,424671765455.704
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3827.35415374308
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,29043140000
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4642.60743101342
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,12215878032.7166
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,6945.63069794539
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,37201101170.5847
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,27951.1659277744
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4807069277.20114
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3984.00229174306
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,109070960371.859
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,893.00983544905
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,3699551717.10561
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,69415.1853254579
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4158873156.17978
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,4536.73312110335
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,294223210496.119
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,53099.1351400148
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2966433692008.09
